Date,GSPC,IXIC,DJI,RUT,GDAXI,FTSE,FCHI,HSI,N225,BSESN,BVSP
2024-08-28,5592.18017578125,17556.029296875,41091.421875,2188.639892578125,18782.2890625,8343.900390625,7577.669921875,17692.44921875,38371.76171875,81785.5625,137344.0
2024-08-29,5591.9599609375,17516.4296875,41335.05078125,2202.97998046875,18912.5703125,8379.599609375,7640.9501953125,17786.3203125,38362.53125,82134.609375,136041.0
2024-08-30,5648.39990234375,17713.619140625,41563.078125,2217.6298828125,18906.919921875,8376.599609375,7630.9501953125,17989.0703125,38647.75,82365.7734375,136004.0
2024-09-02,5648.39990234375,17713.619140625,41563.078125,2217.6298828125,18930.849609375,8363.7998046875,7646.419921875,17691.970703125,38700.87109375,82559.84375,134981.0
2024-09-03,5528.93017578125,17136.30078125,40936.9296875,2149.2099609375,18747.109375,8298.5,7575.10009765625,17651.490234375,38686.30859375,82555.4375,134353.0
2024-09-04,5520.06982421875,17084.30078125,40974.96875,2145.219970703125,18591.849609375,8269.599609375,7500.97021484375,17457.33984375,37047.609375,82352.640625,136111.0
2024-09-05,5503.41015625,17127.66015625,40755.75,2132.050048828125,18576.5,8241.7001953125,7431.9599609375,17444.30078125,36657.08984375,82201.15625,136502.0
2024-09-06,5408.419921875,16690.830078125,40345.41015625,2091.409912109375,18301.900390625,8181.5,7352.2998046875,17444.30078125,36391.46875,81183.9296875,134572.0
2024-09-09,5471.0498046875,16884.599609375,40829.58984375,2097.780029296875,18443.560546875,8270.7998046875,7425.259765625,17196.9609375,36215.75,81559.5390625,134737.0
2024-09-10,5495.52001953125,17025.880859375,40736.9609375,2097.43994140625,18265.919921875,8206.0,7407.5498046875,17234.08984375,36159.16015625,81921.2890625,134320.0
2024-09-11,5554.1298828125,17395.529296875,40861.7109375,2103.85009765625,18330.26953125,8193.900390625,7396.830078125,17108.7109375,35619.76953125,81523.15625,134677.0
2024-09-12,5595.759765625,17569.6796875,41096.76953125,2129.429931640625,18518.390625,8241.0,7435.06982421875,17240.390625,36833.26953125,82962.7109375,134029.0
2024-09-13,5626.02001953125,17683.98046875,41393.78125,2182.489990234375,18699.400390625,8273.099609375,7465.25,17369.08984375,36581.76171875,82890.9375,134882.0
2024-09-16,5633.08984375,17592.130859375,41622.078125,2189.169921875,18633.109375,8278.400390625,7449.43994140625,17422.119140625,36581.76171875,82988.78125,135118.0
2024-09-17,5634.580078125,17628.060546875,41606.1796875,2205.47998046875,18726.080078125,8309.900390625,7487.419921875,17660.01953125,36203.21875,83079.65625,134960.0
2024-09-18,5618.259765625,17573.30078125,41503.1015625,2206.340087890625,18711.490234375,8253.7001953125,7444.89990234375,17660.01953125,36380.171875,82948.2265625,133748.0
2024-09-19,5713.64013671875,18013.98046875,42025.19140625,2252.7099609375,19002.380859375,8328.7001953125,7615.41015625,18013.16015625,37155.328125,83184.796875,133123.0
2024-09-20,5702.5498046875,17948.3203125,42063.359375,2227.889892578125,18720.009765625,8230.0,7500.259765625,18258.5703125,37723.91015625,84544.3125,131065.0
2024-09-23,5718.56982421875,17974.26953125,42124.6484375,2220.280029296875,18846.7890625,8259.7001953125,7508.080078125,18247.109375,37723.91015625,84928.609375,130568.0
2024-09-24,5732.93017578125,18074.51953125,42208.21875,2223.989990234375,18996.630859375,8282.7998046875,7604.009765625,19000.560546875,37940.58984375,84914.0390625,132156.0
2024-09-25,5722.259765625,18082.2109375,41914.75,2197.449951171875,18918.5,8268.7001953125,7565.6201171875,19129.099609375,37870.26171875,85169.8671875,131586.0
2024-09-26,5745.3701171875,18190.2890625,42175.109375,2209.8701171875,19238.359375,8284.900390625,7742.08984375,19924.580078125,38925.62890625,85836.1171875,133010.0
2024-09-27,5738.169921875,18119.58984375,42313.0,2224.699951171875,19473.630859375,8320.7998046875,7791.7900390625,20632.30078125,39829.55859375,85571.8515625,132730.0
2024-09-30,5762.47998046875,18189.169921875,42330.1484375,2229.969970703125,19324.9296875,8237.0,7635.75,21133.6796875,37919.55078125,84299.78125,131816.0
2024-10-01,5708.75,17910.359375,42156.96875,2197.030029296875,19213.140625,8276.7001953125,7574.06982421875,21133.6796875,38651.96875,84266.2890625,132495.0
2024-10-02,5709.5400390625,17925.119140625,42196.51953125,2195.010009765625,19164.75,8290.900390625,7577.58984375,22443.73046875,37808.76171875,84266.2890625,133515.0
2024-10-03,5699.93994140625,17918.48046875,42011.58984375,2180.14990234375,19015.41015625,8282.5,7477.77978515625,22113.509765625,38552.05859375,82497.1015625,131672.0
2024-10-04,5751.06982421875,18137.849609375,42352.75,2212.800048828125,19120.9296875,8280.599609375,7541.35986328125,22736.869140625,38635.62109375,81688.453125,131792.0
2024-10-07,5695.93994140625,17923.900390625,41954.23828125,2193.090087890625,19104.099609375,8303.599609375,7576.02001953125,23099.779296875,39332.73828125,81050.0,132018.0
2024-10-08,5751.1298828125,18182.919921875,42080.37109375,2194.97998046875,19066.470703125,8190.60009765625,7521.31982421875,20926.7890625,38937.5390625,81634.8125,131512.0
2024-10-09,5792.0400390625,18291.619140625,42512.0,2200.590087890625,19254.9296875,8243.7001953125,7560.08984375,20637.240234375,39277.9609375,81467.1015625,129962.0
2024-10-10,5780.0498046875,18282.05078125,42454.12109375,2188.419921875,19210.900390625,8237.7001953125,7541.58984375,21251.98046875,39380.890625,81611.40625,130353.0
2024-10-11,5815.02978515625,18342.939453125,42863.859375,2234.409912109375,19373.830078125,8253.7001953125,7577.89013671875,21251.98046875,39605.80078125,81381.359375,129992.0
2024-10-14,5859.85009765625,18502.689453125,43065.21875,2248.639892578125,19508.2890625,8292.7001953125,7602.06005859375,21092.869140625,39605.80078125,81973.046875,131005.0
2024-10-15,5815.259765625,18315.58984375,42740.421875,2249.820068359375,19486.189453125,8249.2998046875,7521.97021484375,20318.7890625,39910.55078125,81820.1171875,131043.0
